,a7,,,,,a9,a1,a6000,ZV-E,
,"Resolution
(高像素)","Sensitivity
(高感)","Basic
(基础)","Compact
(便携)","cR(便携、
高像素)",速度,旗舰,APS-C,全画幅,APS-C
2013,a7R,,a7,,,,,a6000,,
2014,,a7S,a7II,,,,,,,
2015,a7RII,,,,,,,,,
2016,,,,,,,,"a6300,a6500",,
2017,a7RIII,,,,,a9,,,,
2018,,,a7III,,,,,,,
2019,a7RIV,,,,,,,"a6400,a6600,a6100",,
2020,,,,a7c,,,,,,
2021,,,a7IV,,,,a1,,,ZV-E10
2022,a7RV,,,,,,,,,
2023,,,,a7cII,a7cR,,,,ZV-E1,
2024,,,,,,,,,,
